title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Collaborative Robot Safety: Design & Deployment,Beginner,The State University of New York,,4.7,,,,accident service robots Spot Welding Welding Collaboration robotics safety Chemical Engineering measurement occupational safety and health administration physical-science-and-engineering mechanical-engineering,coursera
Foundations of Teaching for Learning: Planning for Teaching and Learning,Intermediate,Commonwealth Education Trust,,4.8,,,,child development assessment for learning teaching Adult Education training and development education learning to learn early human development adolescence human development social-sciences education,coursera
Set up Google Analytics for a single page website,Beginner,Coursera Project Network,,4.6,,,,web Entrepreneurship tracking analytics google analytics Data Analysis Accounting personalization workaround web analytics business marketing,coursera
Capstone: Create Value from Open Data,Advanced,ESSEC Business School,,3.6,,,,Peer Review Receiving feed uri scheme Strategic Partnerships intermediary Business Analysis deliverable accenture business analytics Culture business business-strategy,coursera
Investment Risk Management,Beginner,Coursera Project Network,,4.5,,,,Finance portfolio (finance) value at risk project Risk financial risk management Leadership and Management investment Risk Management financial risk business finance,coursera
AI Workflow: AI in Production,Advanced,IBM,,4.2,,,,Standard Score microservices process Time Series monitor mode evaluation unit testing machine code application programming interfaces performance data-science machine-learning,coursera
Cryptography,Advanced,"University of Maryland, College Park",,4.5,,,,message authentication numbers (spreadsheet) hashing digital signature encryption public-key cryptography authentication signature Cryptography number theory computer-science computer-security-and-networks,coursera
Quick resumeCreator with JavaScript,Advanced,Coursera Project Network,,3.6,,,,Javascript Web Development Leadership and Management web page web documents internet project networks html project computer-science mobile-and-web-development,coursera
Particle Dynamics,Beginner,Korea Advanced Institute of Science and Technology(KAIST),,4.7,,,,law Mechanical Engineering Integral Angular physics linearity flow network energy chemistry lecture physical-science-and-engineering mechanical-engineering,coursera
Quantitative Formal Modeling and Worst-Case Performance Analysis,Advanced,EIT Digital,,4.3,,,,data-flow analysis prefix order graphs set theory formal language dataflow interpretation euler's totient function mathematical optimization petri net computer-science software-development,coursera
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Intermediate,Georgia Institute of Technology,,4.8,,,,Angular Electrical Engineering Electrical Work Aerospace Engineering calibration pik loan Transportation Engineering translation Energy Conservation Mechanical Engineering physical-science-and-engineering mechanical-engineering,coursera
Creating and Developing a Tech Startup,Advanced,'cole Polytechnique,,4.2,,,,Strategy enabling market (economics) experience business plan leadership Innovation organizing (management) intellectual property project business entrepreneurship,coursera
Writing and Editing: Drafting,Beginner,University of Michigan,,4.8,,,,principle choice Proofreading Planning comfort editing temptation Writing first draft of a report on the edvac Journalism personal-development personal-development,coursera
Classics of Chinese Humanities: Guided Readings,,The Chinese University of Hong Kong,,4.6,,,,music philosophy of language phonetics homework chinese language c-ross Poetry Writing immortality phonology lecture arts-and-humanities music-and-art,coursera
Music Business Foundations,Beginner,Berklee College of Music,,4.8,,,,law history entertainment law Leadership and Management evaluation music Art History provisioning year 2000 problem personal advertisement arts-and-humanities music-and-art,coursera
Introduction to Neuroeconomics: How the Brain Makes Decisions,Intermediate,National Research University Higher School of Economics,,4.6,,,,Decision Making cognitive neuroscience psychology cognitive psychology neurobiology neuroeconomics Behavioral Economics Economics neuroscience Game Theory social-sciences economics,coursera
Instructional Methods in Health Professions Education,Advanced,University of Michigan,,4.7,,,,learning styles teaching teaching method education high fidelity Professional Development medical education instructional design simulation educational practices life-sciences public-health,coursera
Preparing for Graduate Study in the U.S.: A course for international students,Advanced,University of Michigan,,4.4,,,,materials academic writing sources english language elevator pitch Writing teaching college Human Learning Negotiation language-learning learning-english,coursera
Presentation skills: Designing Presentation Slides,Advanced,National Research Tomsk State University,,4.6,,,,relative change and difference presentation infographics vector graphics typography ordered pair Presentation Design visual hierarchy logo illustration personal-development personal-development,coursera
Foundations of Teaching for Learning: Being a Professional,Intermediate,Commonwealth Education Trust,,4.7,,,,Professional Development ethics Strategy training and development education leadership teacher quality assessment teaching effective schools action research social-sciences education,coursera
